question,expected_answer
What is RAG?,Retrieval Augmented Generation is a technique that combines retrieval of relevant documents with language model generation to produce accurate answers.
What is MCP?,Model Context Protocol is a standard protocol for connecting AI models to external tools and data sources.
What is LangChain?,LangChain is a framework for building applications powered by large language models with chains and agents.
What is a vector database?,A vector database stores and retrieves high-dimensional vector embeddings for semantic similarity search.
What is prompt engineering?,Prompt engineering is the practice of designing and optimizing input prompts to get desired outputs from language models.
What is fine-tuning?,Fine-tuning is the process of further training a pre-trained model on specific data to adapt it for a particular task.
What is a transformer?,A transformer is a neural network architecture based on self-attention mechanisms used in modern language models.
What is tokenization?,Tokenization is the process of breaking text into smaller units called tokens that language models can process.
What is hallucination in AI?,Hallucination in AI refers to when a language model generates confident but factually incorrect or fabricated information.
What is an embedding?,An embedding is a dense numerical vector representation of text that captures semantic meaning in a high-dimensional space.